scorer,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000
bodyparts,nose,nose,nose
coords,x,y,likelihood
0,933.4051687717438,626.5018782615662,0.9999998807907104
1,933.8005111217499,626.5260756015778,1.0
2,932.9625430107117,626.2587666511536,1.0
3,930.9388182163239,625.349714756012,1.0
4,929.4811043739319,624.8999438285828,1.0
5,931.5952053964138,617.1271505355835,1.0
6,931.3752836585045,613.7666383981705,1.0
7,930.7774926424026,613.3723375797272,1.0
8,930.4963349103928,612.7343654632568,1.0
9,927.2444927692413,615.7246372699738,1.0
10,927.5649781227112,620.0396323055029,1.0
11,928.57275390625,622.7753517627716,0.9999914169311523
12,930.3363162279129,616.102171421051,0.9999998807907104
13,931.1782371401787,611.7808621376753,1.0
14,930.6608752012253,611.7841676324606,1.0
15,948.8379684090614,609.1327691078186,0.9999983310699463
16,949.1643674373627,607.1055672168732,0.9999959468841553
17,948.8832542300224,604.9655790925026,0.9999998807907104
18,948.0987362489104,605.6547781229019,0.9999977350234985
19,947.6566581130028,605.5924868583679,0.1434752494096756
20,939.9506722316146,571.5055764019489,0.9999978542327881
21,937.7828845977783,579.1174818873405,1.0
22,935.6448056697845,580.6254633665085,0.9999501705169678
23,930.544432759285,577.8581831455231,0.9999157190322876
24,892.340851277113,712.0318088531494,0.9020441174507141
25,916.9818871021271,547.6622577011585,0.029703974723815918
26,918.17751121521,555.7905553281307,0.9744834899902344
27,899.8225284814835,547.304365336895,0.9977501034736633
28,897.1725671291351,542.5301239490509,1.0
29,891.1625761389732,534.9089939594269,1.0
30,885.3533368110657,524.8177101016045,1.0
31,886.6554231643677,518.2953162193298,1.0
32,887.9461808204651,517.2423748970032,1.0
33,888.9346098899841,515.4125845432281,1.0
34,888.6334314346313,513.6418967247009,1.0
35,888.6860814094543,513.9716472625732,1.0
36,886.8846914768219,514.7757294178009,0.9999837875366211
37,906.1074687242508,499.0251274704933,0.9897893071174622
38,906.778494477272,486.0650234222412,0.9999998807907104
39,906.549164891243,485.33407962322235,1.0
40,906.0063301324844,482.9263685941696,0.9999997615814209
41,901.207189321518,482.7501186132431,0.02645513042807579
42,901.8011140823364,470.898640871048,1.0
43,871.559042930603,462.60505294799805,0.9999570846557617
44,866.6549305915833,472.2646565437317,1.0
45,869.0744704008102,478.50507402420044,1.0
46,877.2568629980087,487.6717441082001,1.0
47,871.8524670600891,494.62862253189087,1.0
48,870.0133831501007,498.6333668231964,1.0
49,866.2547352313995,499.98236517608166,1.0
50,866.7888125181198,500.52758103609085,0.9999998807907104
51,865.2828350067139,485.59768867492676,1.0
52,867.6546984016895,481.90697860717773,1.0
53,866.121619105339,478.72041416168213,0.9999996423721313
54,869.9725753068924,467.3184095621109,0.9999995231628418
55,869.7480243444443,467.2261201739311,0.9999992847442627
56,868.1455226689577,466.0411742925644,0.9999998807907104
57,866.915420293808,470.86343812942505,1.0
58,863.6681127548218,489.69001865386963,1.0
59,860.7288812994957,509.2383677959442,0.9999998807907104
60,862.4717259407043,516.5445297956467,1.0
61,859.9315785989165,527.5381679534912,0.9999992847442627
62,867.1437892317772,527.9023797512054,1.0
63,875.5929736793041,530.7338296175003,1.0
64,887.8106608390808,546.7723051309586,0.9999998807907104
65,897.5661013126373,571.2165926098824,0.9999995231628418
66,900.9326602816582,576.1941680908203,0.99997878074646
67,902.6939034461975,575.6281397342682,1.0
68,902.2833347320557,574.7228784561157,0.9999980926513672
69,899.7703094482422,578.1841732263565,0.9966558218002319
70,929.3882904052734,563.7308041751385,0.9999995231628418
71,932.6062915921211,578.4944530725479,0.9993886947631836
72,932.1480479091406,577.5075883865356,0.9999991655349731
73,932.7577863931656,595.0700272917747,0.9991133809089661
74,931.2683649659157,588.0465449094772,0.9999934434890747
75,925.2952151298523,596.0102749215439,0.9999974966049194
76,924.5464484095573,597.2930637598038,1.4508405001834035e-06
77,916.7696403264999,556.9758940935135,6.866204671496234e-07
78,924.1263827681541,613.78136074543,0.18787777423858643
79,923.0866679549217,607.2053077220917,3.573686262825504e-05
80,916.1907772123814,592.8664164543152,1.0
81,913.5736863613129,592.7881803512573,1.0
82,909.754791021347,594.4528583288193,1.0
83,908.2474230676889,593.4327847957611,0.9999994039535522
84,908.1842561513186,594.1493486166,0.9999996423721313
85,909.6040271520615,580.0943737849593,0.9998911619186401
86,913.1788992881775,574.3270378112793,1.0
87,913.4864468574524,572.1711081266403,0.9999988079071045
88,907.4760332107544,563.9952148073353,0.9999998807907104
89,902.3283421993256,564.6565643548965,1.0
90,897.8685359954834,563.4414712190628,1.0
91,896.5293581485748,557.8892023563385,0.9999997615814209
92,888.820454120636,562.5261161327362,1.0
93,883.5301104784012,580.6185729503632,0.9999977350234985
94,883.6293316185474,589.6915682554245,0.9597051739692688
95,854.6518216133118,588.1913214623928,0.9999982118606567
96,855.3117005825043,581.0044639110565,0.9999995231628418
97,860.1604291200638,575.035712480545,0.9999953508377075
98,861.0495775938034,572.1849257946014,0.9999922513961792
99,885.8073482513428,563.2983849644661,0.9999958276748657
100,886.1054027080536,562.6738718748093,0.9999945163726807
101,887.9984264373779,558.2688641548157,0.9999998807907104
102,889.3525550365448,556.0990443378687,0.9999990463256836
103,888.0157794952393,568.2895183563232,0.9999998807907104
104,887.2524678707123,572.0666464269161,1.0
105,887.2896173000336,571.8424177765846,0.9999963045120239
106,883.0324074625969,564.9506993889809,0.9999986886978149
107,884.1135349795222,572.2125993818045,0.9999810457229614
108,884.266413539648,571.0143721103668,1.0
109,881.9804937839508,566.1902780532837,1.0
110,878.4547550678253,562.3511781692505,1.0
111,874.2733805179596,561.4675223827362,1.0
112,871.8346061706543,561.0804839134216,1.0
113,874.3703768253326,557.0394933223724,0.9999998807907104
114,874.6465965509415,547.1323847174644,1.0
115,875.1224846243858,539.5780870914459,1.0
116,876.3832275271416,532.6586050987244,1.0
117,878.239458322525,518.8494091033936,0.9999998807907104
118,879.950469493866,513.1193180084229,1.0
119,882.7353481054306,501.01935625076294,1.0
120,882.7162510156631,489.97058153152466,1.0
