scorer,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000
bodyparts,right hand,right hand,right hand,left hand,left hand,left hand
coords,x,y,likelihood,x,y,likelihood
0,919.1874959468842,687.5319671630859,0.9999971389770508,961.7147400379181,683.561241209507,0.9999997615814209
1,918.6965789794922,686.6897611618042,0.9999849796295166,959.5100226402283,685.2690595388412,0.9999951124191284
2,915.3919956088066,695.2117109298706,0.999904990196228,954.9098411798477,689.6148817539215,0.9999958276748657
3,912.3523421287537,699.603895932436,0.9954984188079834,950.677273273468,695.4385011196136,0.9999998807907104
4,913.8553445339203,706.2422608137131,0.9016619920730591,949.6791179180145,697.5944685935974,0.9999995231628418
5,911.4198734760284,700.0112482486293,0.8887689113616943,950.3313026428223,698.8008878231049,0.9999998807907104
6,911.9321939945221,700.2417915016413,0.982719898223877,949.5055297613144,698.7197794914246,0.9999998807907104
7,910.4594564437866,695.6056005954742,0.9921183586120605,949.8057111501694,696.2674942016602,0.9999998807907104
8,913.5054817199707,701.6779583692551,0.999461829662323,951.6367151737213,698.9312237501144,0.9999990463256836
9,914.1908137798309,705.9076602458954,0.9999958276748657,996.3625061511993,706.3334398269653,0.9999313354492188
10,916.7428187131882,704.403314113617,0.9999994039535522,971.4877396225929,698.7548466920853,0.9999942779541016
11,919.9163625240326,699.8538369685411,0.9999641180038452,963.5700272917747,695.7341449260712,0.9999998807907104
12,918.4505026340485,696.9642543792725,0.9999985694885254,960.0604865550995,692.3165946602821,0.9999998807907104
13,913.8066918849945,697.8931844234467,0.9999970197677612,952.5736231803894,693.487023472786,1.0
14,893.5801892280579,693.8604737520218,0.9999918937683105,941.7413483858109,695.0963401794434,0.9999995231628418
15,881.1083736419678,665.7037179470062,0.9999996423721313,932.114136993885,699.2085365653038,0.9999709129333496
16,897.5610747337341,674.8112914562225,0.9999208450317383,922.7631602287292,703.1863234043121,0.08929205685853958
17,896.2642774581909,681.2445874214172,0.8767802119255066,921.4098570346832,706.2180442810059,0.008258325047791004
18,897.563285112381,688.8308753967285,0.08066192269325256,914.0441120862961,707.9195587262511,0.0075570158660411835
19,894.8817551136017,689.9938597679138,0.5544217824935913,908.2405977547169,717.3494790792465,0.002846499439328909
20,892.4722282886505,696.7492985725403,0.9991438388824463,899.7946857511997,726.1047759056091,0.0034500756300985813
21,890.8709944486618,704.1388874053955,0.9959906935691833,902.3071670532227,738.0635576248169,0.010032979771494865
22,893.9248061180115,707.8763111978769,0.9821165204048157,895.9040064811707,711.956887960434,3.466901762294583e-05
23,891.761681959033,712.3588624000549,0.9637199640274048,907.3169261217117,752.9802560806274,0.4734427332878113
24,893.851765871048,722.9408674240112,0.9865118265151978,912.566335439682,755.304225564003,0.07737897336483002
25,896.1522409915924,726.2383351325989,0.9999996423721313,940.8481575846672,787.7082881629467,0.11774365603923798
26,899.2167040705681,726.8274166584015,1.0,985.5984582901001,691.8992603197694,0.9999998807907104
27,908.7939196228981,722.4210351705551,1.0,974.2744054794312,635.0085326433182,0.9969663023948669
28,917.0529166460037,721.3114402294159,1.0,947.7546897381544,636.8854960799217,0.9999995231628418
29,919.4133162498474,733.7743626832962,1.0,921.3198819160461,656.0368981361389,0.9999949932098389
30,926.7578821182251,750.7040643692017,0.999998927116394,920.8726034164429,670.116153717041,0.9999977350234985
31,928.0516707897186,765.1001782417297,0.9999998807907104,920.8911967277527,686.5800249576569,0.999995231628418
32,930.6595997810364,774.2538990974426,1.0,925.0096169710159,695.3906147480011,0.999955415725708
33,929.35613489151,785.4593570232391,0.9999998807907104,919.6815886497498,710.6324663162231,0.9999152421951294
34,899.902243770659,802.300363779068,0.9999998807907104,912.5283017158508,727.3230676651001,0.9999470710754395
35,858.424409031868,724.8249111175537,0.9999696016311646,900.7755943536758,735.7134602069855,0.9999936819076538
36,830.0755572319031,632.482460975647,0.9999744892120361,883.939746979624,743.8624269962311,0.9999995231628418
37,854.0209283828735,600.9434649944305,0.9999490976333618,869.4093024730682,749.5268847942352,0.9999964237213135
38,880.5178384780884,611.9391813352704,1.0,859.8551500588655,757.5436531305313,0.9999208450317383
39,880.1010174751282,628.2406637221575,1.0,854.2422122955322,770.3796631097794,0.9998258948326111
40,871.1498665809631,648.4645118713379,1.0,849.7072842121124,788.6609106659889,0.9999959468841553
41,867.9210953265429,669.814840555191,1.0,844.617923438549,807.0646116733551,0.9999929666519165
42,865.2359433174133,691.9565169662237,1.0,844.8462772965431,821.3995773792267,0.9999995231628418
43,865.4241011142731,707.4942273497581,1.0,882.9105907678604,706.3795272111893,0.9987484216690063
44,869.1630027294159,724.1999338418245,1.0,885.2522394657135,722.7595043182373,0.9985260963439941
45,880.84836769104,737.2005136013031,0.9999986886978149,941.3700751066208,596.3703680932522,0.9999992847442627
46,891.4067776203156,752.6526358127594,0.9999978542327881,910.5760886669159,603.6522848904133,0.9999933242797852
47,894.2027404308319,767.6362919807434,0.9999991655349731,892.5861432552338,632.5074648857117,1.0
48,894.3624193668365,788.4201592504978,0.9999997615814209,887.4370419979095,654.9811198711395,1.0
49,891.2878632545471,803.8225645422935,0.9999997615814209,888.8041009902954,671.001549243927,1.0
50,888.5341763496399,819.6402572691441,1.0,889.0780992507935,687.0229139328003,0.9999997615814209
51,884.8997450470924,842.4574952125549,1.0,890.3481979370117,715.2337686419487,0.9999995231628418
52,882.260999917984,854.5727000236511,1.0,887.1323516368866,729.6442453861237,0.9999997615814209
53,878.2909331321716,868.2814738154411,0.9999996423721313,882.3244462013245,748.3734203875065,1.0
54,870.004025220871,871.438027381897,0.9999969005584717,878.6496720314026,758.9131791591644,0.9999995231628418
55,867.6338263750076,870.7497835159302,0.9999758005142212,878.9200835227966,767.1212739944458,0.9999997615814209
56,861.5360368490219,866.4051375389099,0.9629120826721191,874.6960707902908,770.8870381116867,0.9999998807907104
57,838.89777302742,843.4008335471153,0.9961586594581604,876.0197143238038,775.1106450557709,0.9999984502792358
58,817.2808480262756,756.7002755403519,1.0,873.2116012573242,774.4597351551056,0.9999960660934448
