scorer,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000,DeepCut_resnet50_String_PullingJan9shuffle1_1030000
bodyparts,right ear,right ear,right ear,left ear,left ear,left ear
coords,x,y,likelihood,x,y,likelihood
0,836.7786341905594,631.069922208786,0.9999998807907104,1086.3716442584991,637.8848819732666,0.9997466206550598
1,835.9631578922272,627.9692068584263,0.9999973773956299,1091.4561995267868,625.9019374847412,0.9999997615814209
2,843.4625073671341,610.5343685150146,0.9999984502792358,1096.9897084236145,621.1182284355164,0.9999983310699463
3,844.7166723608971,601.3026866912842,0.9999986886978149,1100.0003016882692,612.3152104020119,0.9999998807907104
4,845.343310713768,596.0402579754591,0.9999997615814209,1104.9798157215118,619.1701602339745,0.9999983310699463
5,853.389412522316,579.7387989759445,0.9999957084655762,1108.7656844854355,612.0746623277664,0.9999997615814209
6,853.6000142097473,567.037410736084,0.9999998807907104,1109.090791463852,590.4111752510071,0.9999995231628418
7,845.6039777994156,561.3499038219452,0.9999997615814209,1109.8835934400558,574.1113858222961,0.9999988079071045
8,840.7228109836578,545.0295782089233,0.9999997615814209,1108.7967320680618,563.5882797241211,0.9999998807907104
9,834.1213293075562,539.8029063791037,1.0,1103.93630361557,548.3906703293324,0.9998998641967773
10,828.3860042393208,521.3453578948975,1.0,1093.6132106781006,514.2289364337921,0.9994354844093323
11,827.3222417831421,505.0207824707031,0.9999988079071045,1081.9479086399078,480.7613568305969,0.9992664456367493
12,821.7960979938507,490.9227433204651,1.0,1080.337070941925,454.868971824646,0.9999946355819702
13,823.7850384712219,471.0158987045288,0.9999998807907104,1090.3373293876648,447.3877274990082,0.9999953508377075
14,826.2699890136719,450.53285682201385,0.9999998807907104,1096.9256253242493,437.1392151117325,0.9999967813491821
15,833.7399106025696,419.65115386247635,0.9999998807907104,1103.0345821380615,430.2123100757599,0.999997615814209
16,838.8879239559174,400.6265912055969,0.9999974966049194,1104.8802347183228,415.5023741722107,0.9998984336853027
17,851.9871636983007,375.19898796081543,0.9985665678977966,1110.4876182079315,406.83167600631714,0.9999829530715942
18,849.6512880325317,372.8639162182808,0.9987654685974121,1112.3397479057312,402.76730811595917,0.9999865293502808
19,846.5455076694489,371.5999707877636,0.9999676942825317,1111.5484380722046,387.5967810153961,0.9999902248382568
20,844.4424684941769,353.6147975921631,0.9999840259552002,1105.9000420570374,372.1542481482029,0.9987402558326721
21,837.068640589714,347.610669285059,0.9999974966049194,1103.266619682312,368.89168429374695,0.9988396763801575
22,827.7417466938496,353.8475091457367,1.0,1086.7956681251526,330.00182116031647,0.9999209642410278
23,823.3665850162506,349.1719057559967,0.9999995231628418,1078.633280992508,311.1296715736389,0.999995231628418
24,823.09428358078,340.5338997244835,0.999993085861206,1081.1042923927307,307.59807816147804,0.9999997615814209
25,825.1801385879517,329.2770824432373,0.9999998807907104,1087.0563397407532,308.1178884804249,0.9999998807907104
26,825.7521340847015,323.56707364320755,1.0,1089.3757297992706,314.1113382577896,0.9999998807907104
27,833.3418891429901,301.6965090036392,0.9999986886978149,1094.2506175041199,324.0290039088577,1.0
28,836.9693130254745,292.2986018359661,0.999990701675415,1093.3687793016434,323.9913340965286,1.0
29,838.1862978935242,284.11499036848545,0.9998363256454468,1094.148907661438,324.8676092028618,1.0
30,837.1760913133621,277.675656080246,0.9999662637710571,1093.9585822820663,322.72615683078766,0.9999998807907104
31,824.6776471138,282.8629958629608,0.9999990463256836,1088.364534854889,309.42040145397186,0.9999921321868896
32,817.6984169483185,290.86920189857483,1.0,1083.8491030335426,306.8735443353653,0.9999936819076538
33,812.0111966244876,299.79542073607445,1.0,1070.4431371688843,282.5923482179642,0.9999922513961792
34,809.942437171936,306.9079610109329,1.0,1061.6725902557373,271.6061108112335,0.9999949932098389
35,808.4227576255798,310.05034160614014,1.0,1060.9310401678085,269.2023546695709,0.9999998807907104
36,809.8989953994751,300.9234427809715,1.0,1068.732780098915,276.95710277557373,0.9999971389770508
37,810.7590787410736,296.8576035499573,1.0,1072.4612324237823,285.7969994544983,0.9999990463256836
38,815.332498550415,291.08285212516785,0.9999998807907104,1077.8854460716248,296.2884302139282,0.9999994039535522
39,824.7196717262268,278.7630498409271,0.9999845027923584,1082.2713031768799,309.82640159130096,0.9999995231628418
40,819.3270865678787,278.6019639968872,0.9988742470741272,1076.9529635310173,303.71748781204224,0.9999998807907104
41,818.7909284830093,276.72230792045593,0.9998818635940552,1076.287020713091,303.65230321884155,0.9999998807907104
42,812.1315481513739,279.0595769882202,0.9999998807907104,1071.3197531700134,301.0765644311905,0.9999960660934448
43,806.2541325092316,280.55442571640015,0.9999997615814209,1069.1396577358246,296.3506717681885,0.9999898672103882
44,800.6134090423584,283.99693306628615,1.0,1063.3013157844543,284.136542275548,0.9999991655349731
45,794.5505734682083,294.2684836387634,1.0,1045.4032789468765,257.86839175224304,0.9999698400497437
46,794.464119553566,297.18329429626465,1.0,1046.9147281646729,261.2265832424164,0.9999992847442627
47,794.5287919044495,297.29660415649414,1.0,1050.9196684360504,265.0055251121521,0.999987006187439
48,797.6294071674347,297.0966558456421,1.0,1060.1852517426014,278.49605655670166,0.9999998807907104
49,799.1415557861328,296.9763927459717,0.9999998807907104,1063.4880256652832,290.2286214828491,0.9999996423721313
